Time,PSI
4.1325,-6.244500000000002
4.14625,-6.67349999999999
4.1575,-6.341999999999999
4.17375,-6.653999999999996
4.185,-6.771000000000001
4.19875,-6.634500000000003
4.21,-6.771000000000001
4.22375,-6.263999999999996
4.235,-6.653999999999996
4.24875,-4.840499999999992
4.26,-6.224999999999994
4.27375,-6.575999999999993
4.285,-6.751499999999993
4.30125,-6.400499999999994
4.3125,-6.595500000000001
4.32625,-6.67349999999999
4.3375,-6.653999999999996
4.35125,-6.439499999999995
4.3625,-6.439499999999995
4.37625,-6.653999999999996
4.3875,-6.458999999999989
4.40125,-6.478499999999997
4.4125,-6.731999999999999
4.42875,-6.049499999999995
4.44,-6.322499999999991
4.45375,-6.205500000000001
4.465,-5.971499999999992
4.47875,-6.8489999999999895
4.49,-6.67349999999999
4.50375,-6.400499999999994
4.515,-6.283499999999989
4.52875,-6.751499999999993
4.54,-6.069000000000003
4.55375,-6.595500000000001
4.565,-6.263999999999996
4.57875,-6.244500000000002
4.59,-6.575999999999993
4.60375,-6.283499999999989
4.615,-6.069000000000003
4.63,-6.829499999999996
4.6425,-6.595500000000001
4.65625,-6.341999999999999
4.6675,-6.478499999999997
4.68125,-6.341999999999999
4.6925,-6.263999999999996
4.70625,-6.302999999999997
4.7175,-6.400499999999994
4.73125,-6.205500000000001
4.7425,-6.263999999999996
4.75625,-6.069000000000003
4.7675,-6.517499999999998
4.78125,-6.302999999999997
4.7925,-7.3559999999999945
4.80625,-6.127499999999998
4.8175,-6.634500000000003
4.83125,-6.692999999999998
4.8425,-6.810000000000002
4.85625,-5.054999999999993
4.8675,-5.951999999999998
4.88125,-6.283499999999989
4.8925,-6.751499999999993
4.90625,-6.790499999999994
4.9175,-6.283499999999989
4.93125,-6.283499999999989
4.9425,-6.517499999999998
4.95625,-6.478499999999997
4.9675,-6.692999999999998
4.98125,-6.653999999999996
4.9925,-6.829499999999996
5.00625,-6.127499999999998
5.0175,-6.829499999999996
5.03125,-7.180499999999995
5.0425,-6.420000000000002
5.05625,-6.5565
5.0675,-6.185999999999993
5.08125,-5.152499999999989
5.0925,-6.263999999999996
5.10625,-6.146999999999991
5.1175,-6.361499999999992
5.13125,-6.536999999999992
5.1425,-6.458999999999989
5.1575,-6.088499999999996
5.16875,-6.361499999999992
5.1825,-6.517499999999998
5.19375,-6.420000000000002
5.2075,-6.263999999999996
5.21875,-6.322499999999991
5.2325,-6.5565
5.24375,-6.420000000000002
5.2575,-6.692999999999998
5.26875,-6.361499999999992
5.2825,-6.439499999999995
5.29375,-6.634500000000003
5.3075,-6.810000000000002
5.31875,-6.5565
5.3325,-6.322499999999991
5.34375,-6.517499999999998
5.3575,-6.517499999999998
5.36875,-6.244500000000002
5.3825,-6.361499999999992
5.39375,-6.4979999999999905
5.4075,-6.67349999999999
5.41875,-6.302999999999997
5.4325,-5.991
5.44375,-6.263999999999996
5.4575,-7.063499999999991
5.46875,-6.127499999999998
5.4825,-7.161000000000001
5.49375,-6.381
5.5075,-6.634500000000003
5.51875,-6.146999999999991
5.5325,-6.8489999999999895
