Time,PSI
0.00375,55.91439999999997
0.03,56.20239999999998
0.05625,55.99119999999999
0.0825,56.18319999999997
0.10875,56.16399999999999
0.135,56.067999999999984
0.16125,56.24079999999998
0.1875,54.973599999999976
0.21375,56.087199999999996
0.24,56.37519999999998
0.26625,55.952799999999996
0.2925,56.087199999999996
0.31875,55.77999999999997
0.345,55.799199999999985
0.37125,55.85679999999999
0.3975,56.04879999999997
0.4225,55.875999999999976
0.44875,55.85679999999999
0.475,55.85679999999999
0.50125,55.89519999999999
0.5275,55.72239999999999
0.55375,55.39599999999999
0.58,55.47279999999998
0.60625,55.28079999999997
0.6325,55.60719999999998
0.65875,55.60719999999998
0.685,55.91439999999997
0.71125,55.70319999999998
0.7375,55.70319999999998
0.76375,55.54959999999997
0.79,55.587999999999994
0.81625,55.587999999999994
0.8425,55.530399999999986
0.86875,55.41519999999997
0.895,55.41519999999997
0.92125,55.56879999999998
0.9475,55.47279999999998
0.9725,55.49199999999999
0.99875,55.875999999999976
1.025,55.72239999999999
1.05125,55.511199999999974
1.0775,55.453599999999994
1.10375,55.16559999999998
1.13,55.62639999999999
1.15625,55.28079999999997
1.1825,55.54959999999997
1.20875,55.511199999999974
1.235,55.319199999999995
1.26125,55.41519999999997
1.2875,55.33839999999998
1.31375,55.35759999999999
1.34,55.107999999999976
1.36625,55.319199999999995
1.3925,55.06959999999998
1.41875,55.12719999999999
1.445,55.20399999999998
1.47125,55.14639999999997
1.4975,55.184799999999996
1.5225,55.050399999999996
1.54875,55.33839999999998
1.575,54.80079999999998
1.60125,54.896799999999985
1.6275,55.83759999999998
1.65375,55.242399999999975
1.68,55.319199999999995
1.70625,55.031199999999984
1.7325,54.7816
1.75875,54.95439999999999
1.785,55.107999999999976
1.81125,54.973599999999976
1.8375,54.74319999999997
1.86375,54.74319999999997
1.89,54.72399999999999
1.91625,54.7816
1.9425,54.74319999999997
1.96875,55.08879999999999
1.995,54.57039999999998
2.02125,54.685599999999994
2.0475,54.66639999999998
2.0725,55.031199999999984
2.09875,54.685599999999994
2.125,54.81999999999999
2.15125,54.87759999999997
2.1775,54.49359999999999
2.20375,54.608799999999974
2.23,54.474399999999974
2.25625,54.58959999999999
2.2825,54.72399999999999
2.30875,54.32079999999999
2.335,54.83919999999998
2.36125,54.896799999999985
2.3875,54.37839999999997
2.41375,54.43599999999998
2.44,54.49359999999999
2.46625,54.416799999999995
2.49375,54.37839999999997
2.52,54.51279999999997
2.54625,54.09039999999999
2.5725,54.551199999999994
2.59875,54.37839999999997
2.62375,54.39759999999998
2.65,54.205599999999976
2.67625,53.994399999999985
2.7025,54.30159999999998
2.72875,54.16719999999998
2.755,54.10959999999997
2.78125,54.39759999999998
