Time,PSI
3.0825,-18.116
3.09625,-17.802400000000006
3.1075,-17.547600000000003
3.12125,-17.7436
3.1325,-17.998400000000004
3.14875,-17.214399999999998
3.16,-17.763199999999998
3.17375,-17.782799999999995
3.185,-17.253600000000006
3.19875,-18.076800000000006
3.21,-17.488799999999998
3.22375,-17.92
3.235,-17.822000000000003
3.24875,-18.018
3.26,-17.802400000000006
3.27625,-17.488799999999998
3.2875,-17.684799999999996
3.30125,-17.704399999999993
3.3125,-18.018
3.32625,-18.037599999999998
3.3375,-17.449600000000004
3.35125,-17.822000000000003
3.3625,-17.763199999999998
3.37625,-17.8416
3.3875,-17.508399999999995
3.40375,-18.037599999999998
3.415,-17.508399999999995
3.42875,-18.018
3.44,-17.822000000000003
3.45375,-17.900400000000005
3.465,-17.9396
3.47875,-17.606399999999994
3.49,-18.116
3.50375,-17.998400000000004
3.515,-17.959199999999996
3.53125,-17.802400000000006
3.5425,-17.7436
3.5575,-17.724000000000004
3.57,-17.704399999999993
3.58375,-18.3904
3.595,-18.037599999999998
3.60875,-18.1944
3.62,-17.802400000000006
3.63375,-18.4884
3.645,-17.998400000000004
3.66125,-17.880799999999994
3.6725,-17.547600000000003
3.68625,-17.959199999999996
3.6975,-17.312399999999997
3.71125,-17.3712
3.7225,-17.822000000000003
3.73625,-17.6456
3.7475,-17.6652
3.76125,-17.7436
3.7725,-18.429599999999994
3.78875,-18.351200000000006
3.8,-18.233599999999996
3.81375,-17.998400000000004
3.825,-17.508399999999995
3.83875,-17.978799999999993
3.85,-17.0968
3.86375,-17.782799999999995
3.875,-18.409999999999997
3.88875,-17.998400000000004
3.9,-17.782799999999995
3.91625,-17.488799999999998
3.9275,-17.763199999999998
3.94125,-17.7436
3.9525,-18.3904
3.96625,-17.782799999999995
3.9775,-18.135599999999997
3.99125,-17.900400000000005
4.0025,-17.606399999999994
4.01625,-17.998400000000004
4.0275,-17.822000000000003
4.04375,-17.704399999999993
4.055,-18.253199999999993
4.06875,-17.3712
4.08,-18.018
4.095,-17.880799999999994
4.1075,-17.724000000000004
4.12125,-17.273200000000003
4.1325,-17.900400000000005
4.14625,-17.782799999999995
4.1575,-17.959199999999996
4.17375,-17.959199999999996
4.185,-18.586399999999998
4.19875,-18.096400000000003
4.21,-18.018
4.22375,-17.880799999999994
4.235,-17.724000000000004
4.24875,-16.783199999999994
4.26,-17.978799999999993
4.27375,-18.096400000000003
4.285,-18.076800000000006
4.30125,-17.763199999999998
4.3125,-17.626000000000005
4.32625,-18.018
4.3375,-18.018
4.35125,-17.782799999999995
4.3625,-17.92
4.37625,-18.1944
4.3875,-17.978799999999993
4.40125,-17.802400000000006
4.4125,-17.6652
4.42875,-17.528000000000006
4.44,-17.508399999999995
4.45375,-17.763199999999998
4.465,-18.116
4.47875,-17.802400000000006
4.49,-17.978799999999993
4.50375,-17.880799999999994
4.515,-17.6652
4.52875,-18.096400000000003
4.54,-17.547600000000003
4.55375,-17.626000000000005
4.565,-17.861199999999997
4.57875,-17.6456
4.59,-18.272800000000004
4.60375,-17.528000000000006
4.615,-17.8416
4.63,-17.547600000000003
4.6425,-17.1164
4.65625,-17.900400000000005
4.6675,-17.978799999999993
4.68125,-17.8416
4.6925,-17.724000000000004
4.70625,-17.92
4.7175,-17.684799999999996
4.73125,-17.684799999999996
4.7425,-17.684799999999996
4.75625,-17.547600000000003
4.7675,-17.978799999999993
4.78125,-17.802400000000006
4.7925,-17.802400000000006
4.80625,-18.174800000000005
4.8175,-17.351600000000005
4.83125,-18.096400000000003
4.8425,-17.782799999999995
4.85625,-16.9204
4.8675,-17.9396
4.88125,-17.704399999999993
4.8925,-17.6652
4.90625,-17.606399999999994
4.9175,-17.763199999999998
4.93125,-17.959199999999996
4.9425,-18.096400000000003
4.95625,-17.763199999999998
4.9675,-18.096400000000003
4.98125,-17.802400000000006
4.9925,-18.331599999999995
5.00625,-17.959199999999996
5.0175,-17.802400000000006
5.03125,-18.331599999999995
5.0425,-17.822000000000003
5.05625,-17.9396
5.0675,-17.880799999999994
5.08125,-16.763599999999997
5.0925,-17.782799999999995
5.10625,-17.3712
5.1175,-18.116
5.13125,-18.057199999999995
5.1425,-18.018
5.1575,-17.998400000000004
5.16875,-17.684799999999996
5.1825,-17.704399999999993
5.19375,-17.547600000000003
5.2075,-17.8416
5.21875,-17.861199999999997
5.2325,-17.92
5.24375,-18.233599999999996
5.2575,-17.861199999999997
5.26875,-18.174800000000005
5.2825,-17.8416
5.29375,-17.763199999999998
5.3075,-17.92
5.31875,-17.880799999999994
5.3325,-17.782799999999995
5.34375,-17.547600000000003
5.3575,-18.057199999999995
5.36875,-17.037999999999997
5.3825,-17.92
5.39375,-17.8416
5.4075,-17.998400000000004
5.41875,-17.802400000000006
5.4325,-17.822000000000003
5.44375,-17.998400000000004
5.4575,-18.076800000000006
5.46875,-16.900800000000004
5.4825,-18.135599999999997
5.49375,-17.822000000000003
5.5075,-17.978799999999993
5.51875,-17.6652
5.5325,-17.900400000000005
5.54375,-17.802400000000006
5.5575,-17.900400000000005
5.56875,-17.449600000000004
5.5825,-17.606399999999994
5.59375,-17.880799999999994
5.6075,-17.763199999999998
5.61875,-17.959199999999996
5.6325,-18.625600000000006
5.64375,-17.273200000000003
5.6575,-18.155199999999994
5.66875,-18.076800000000006
5.68375,-18.214
5.695,-17.900400000000005
5.70875,-17.900400000000005
5.72,-18.096400000000003
5.73375,-18.174800000000005
5.745,-17.9396
5.75875,-18.037599999999998
5.77,-17.92
5.78375,-17.978799999999993
5.795,-17.782799999999995
5.80875,-17.9396
5.82,-18.214
5.83375,-17.528000000000006
5.845,-18.155199999999994
5.85875,-17.684799999999996
5.87,-17.724000000000004
5.88375,-17.606399999999994
5.895,-17.684799999999996
5.90875,-18.723600000000005
5.92,-18.1944
5.93375,-18.037599999999998
5.945,-17.822000000000003
5.95875,-18.155199999999994
5.97,-17.684799999999996
5.98375,-17.998400000000004
5.995,-18.076800000000006
6.00875,-17.782799999999995
6.02,-17.547600000000003
6.03375,-17.233999999999995
6.045,-17.606399999999994
6.05875,-17.978799999999993
6.07,-17.704399999999993
6.08375,-17.704399999999993
6.095,-17.822000000000003
6.10875,-17.704399999999993
6.12,-17.9396
6.13375,-17.92
6.145,-17.626000000000005
6.15875,-17.626000000000005
6.17,-17.861199999999997
6.18375,-17.782799999999995
6.195,-17.782799999999995
6.21,-17.900400000000005
6.22125,-17.528000000000006
6.235,-18.605999999999995
6.24625,-17.822000000000003
6.26,-18.253199999999993
6.27125,-17.861199999999997
6.285,-18.018
6.29625,-17.959199999999996
6.31,-18.116
6.32125,-18.253199999999993
6.335,-17.5672
6.34625,-18.3904
6.36,-17.959199999999996
6.37125,-17.822000000000003
6.385,-17.959199999999996
6.39625,-16.9204
6.41,-18.037599999999998
6.42125,-17.978799999999993
6.435,-17.3908
6.44625,-17.3908
6.46,-18.116
6.47125,-18.5668
6.485,-18.233599999999996
6.49625,-17.429999999999993
6.51,-18.547200000000004
6.52125,-17.3712
6.535,-17.586799999999997
6.54625,-17.822000000000003
6.56,-17.861199999999997
6.57125,-17.528000000000006
6.585,-17.8416
6.59625,-17.959199999999996
6.61,-17.410399999999996
6.62125,-18.037599999999998
6.635,-17.4692
6.64625,-17.880799999999994
6.66,-17.998400000000004
6.67125,-17.704399999999993
6.685,-17.724000000000004
6.69625,-17.253600000000006
6.71,-17.9396
6.72125,-17.6456
6.73625,-18.429599999999994
6.7475,-17.724000000000004
6.76125,-18.174800000000005
6.7725,-17.312399999999997
6.78625,-17.802400000000006
6.7975,-17.959199999999996
6.81125,-17.998400000000004
6.8225,-17.861199999999997
6.83625,-17.880799999999994
6.8475,-17.9396
6.86125,-18.311999999999998
6.8725,-17.959199999999996
6.88625,-17.410399999999996
6.8975,-17.3908
6.91125,-17.880799999999994
6.9225,-17.92
6.93625,-17.508399999999995
6.9475,-18.233599999999996
6.96125,-18.625600000000006
6.9725,-17.92
6.98625,-17.802400000000006
6.9975,-17.802400000000006
7.01125,-17.547600000000003
7.0225,-17.9396
7.03625,-17.959199999999996
7.0475,-17.92
7.0625,-18.625600000000006
7.0725,-18.096400000000003
7.08625,-17.6456
7.0975,-17.6456
7.11125,-17.822000000000003
7.1225,-18.272800000000004
7.13625,-18.096400000000003
7.1475,-17.782799999999995
7.16125,-17.684799999999996
7.1725,-17.2928
7.18625,-17.6652
7.1975,-17.6456
7.21125,-17.528000000000006
7.2225,-17.488799999999998
7.23625,-17.606399999999994
7.2475,-17.586799999999997
7.2625,-17.763199999999998
7.27375,-17.92
7.2875,-17.704399999999993
7.29875,-17.9396
7.3125,-17.626000000000005
7.32375,-17.763199999999998
7.3375,-17.880799999999994
7.34875,-17.6456
7.3625,-17.822000000000003
7.37375,-17.7436
7.3875,-16.489199999999997
7.39875,-17.959199999999996
7.4125,-18.409999999999997
7.42375,-17.782799999999995
7.4375,-17.802400000000006
7.44875,-17.8416
7.4625,-17.9396
7.47375,-18.174800000000005
7.4875,-17.880799999999994
7.49875,-17.861199999999997
7.5125,-17.978799999999993
7.52375,-17.626000000000005
7.5375,-17.135999999999996
7.54875,-18.057199999999995
7.5625,-17.978799999999993
7.57375,-17.802400000000006
7.5875,-17.351600000000005
7.59875,-18.057199999999995
7.6125,-18.155199999999994
7.62375,-17.3908
7.6375,-17.429999999999993
7.64875,-17.8416
7.6625,-16.861599999999996
7.675,-18.311999999999998
7.68875,-17.802400000000006
7.7,-17.900400000000005
7.71375,-18.057199999999995
7.725,-17.1164
7.73875,-17.528000000000006
7.75,-17.92
7.76375,-17.9396
7.775,-17.998400000000004
7.8,-18.3904
7.80125,-17.782799999999995
7.825,-17.8416
7.82625,-18.135599999999997
7.85,-17.724000000000004
7.85125,-17.861199999999997
7.875,-17.900400000000005
7.87625,-17.547600000000003
7.9,-17.822000000000003
7.90125,-17.449600000000004
7.925,-18.037599999999998
7.92625,-17.782799999999995
7.95,-17.547600000000003
7.95125,-17.8416
7.97625,-17.684799999999996
7.9775,-18.253199999999993
8.0025,-17.2928
8.00375,-17.959199999999996
8.02875,-17.763199999999998
8.03,-17.684799999999996
8.055,-17.312399999999997
8.05625,-17.998400000000004
8.08,-17.724000000000004
8.08125,-17.8416
8.10625,-17.9396
8.1075,-18.076800000000006
8.1325,-17.7436
8.13375,-18.429599999999994
8.15875,-17.626000000000005
8.16,-17.9396
8.185,-18.272800000000004
8.18625,-17.822000000000003
8.21125,-17.763199999999998
8.2125,-17.822000000000003
8.2375,-17.528000000000006
8.23875,-17.763199999999998
8.26375,-18.018
8.265,-18.214
8.29,-17.1948
8.29125,-17.763199999999998
8.31625,-17.5672
8.3175,-17.782799999999995
8.34375,-17.880799999999994
8.345,-17.684799999999996
8.37,-17.508399999999995
8.37125,-18.116
8.39625,-18.272800000000004
8.3975,-17.763199999999998
8.4225,-17.684799999999996
8.42375,-18.037599999999998
8.44875,-18.1944
8.45,-17.508399999999995
8.475,-18.5668
8.47625,-17.998400000000004
8.50125,-18.253199999999993
8.5025,-17.763199999999998
8.5275,-17.3908
8.52875,-17.782799999999995
8.55375,-17.704399999999993
8.555,-17.547600000000003
8.58,-18.253199999999993
8.58125,-17.5672
8.60625,-17.959199999999996
8.6075,-18.1944
8.6325,-17.704399999999993
8.63375,-18.096400000000003
8.65875,-17.626000000000005
8.66,-17.92
8.685,-17.978799999999993
8.68625,-17.802400000000006
8.71125,-17.998400000000004
8.7125,-17.900400000000005
8.7375,-18.155199999999994
8.73875,-17.606399999999994
8.76375,-17.724000000000004
8.765,-17.6652
8.79,-17.763199999999998
8.79125,-17.92
8.81625,-17.547600000000003
8.8175,-17.92
8.8425,-17.684799999999996
8.84375,-18.096400000000003
8.86875,-17.978799999999993
8.87,-17.802400000000006
8.89625,-17.5672
8.8975,-18.311999999999998
8.92125,-17.880799999999994
8.9225,-18.370800000000003
8.9475,-18.1944
8.94875,-17.959199999999996
8.97375,-18.409999999999997
8.975,-17.782799999999995
9.0,-18.155199999999994
9.00125,-17.429999999999993
9.02625,-17.6652
9.0275,-18.2924
9.05125,-18.605999999999995
9.0525,-17.724000000000004
9.0775,-17.606399999999994
9.07875,-17.8416
9.10375,-17.92
9.105,-18.2924
9.13,-17.900400000000005
9.13125,-17.9396
9.15625,-17.861199999999997
9.1575,-18.018
9.18125,-17.704399999999993
9.1825,-18.057199999999995
9.2075,-17.7436
9.20875,-17.684799999999996
9.23375,-17.822000000000003
9.235,-17.861199999999997
9.26,-18.174800000000005
9.26125,-17.880799999999994
9.28625,-17.861199999999997
9.2875,-17.959199999999996
9.3125,-17.880799999999994
9.31375,-16.861599999999996
9.33875,-17.8416
9.34,-17.92
9.365,-17.822000000000003
9.36625,-17.528000000000006
9.39125,-17.822000000000003
9.3925,-17.724000000000004
9.4175,-17.8416
9.41875,-18.096400000000003
9.445,-17.900400000000005
9.44625,-17.8416
9.47,-17.900400000000005
9.47125,-18.174800000000005
9.49625,-17.763199999999998
9.4975,-18.096400000000003
9.5225,-17.998400000000004
9.52375,-17.959199999999996
9.54875,-17.5672
9.55,-18.076800000000006
9.575,-17.861199999999997
9.57625,-17.763199999999998
9.6,-17.5672
9.60125,-17.528000000000006
9.62625,-17.6456
9.6275,-17.7436
9.6525,-18.155199999999994
9.65375,-17.900400000000005
9.67875,-18.096400000000003
9.68,-17.959199999999996
9.705,-18.155199999999994
9.70625,-17.861199999999997
9.73,-18.370800000000003
9.73125,-17.606399999999994
9.75625,-17.782799999999995
9.7575,-17.6456
9.7825,-17.704399999999993
9.78375,-18.076800000000006
9.80875,-17.959199999999996
9.81,-17.822000000000003
9.835,-17.9396
9.83625,-18.1944
9.86125,-17.449600000000004
9.8625,-17.233999999999995
9.8875,-17.802400000000006
9.88875,-17.998400000000004
9.91375,-17.763199999999998
9.915,-17.822000000000003
9.94,-17.724000000000004
9.94125,-17.880799999999994
9.96625,-18.272800000000004
9.9675,-17.429999999999993
9.99375,-17.724000000000004
9.995,-17.822000000000003
10.01875,-17.763199999999998
10.02,-17.880799999999994
10.045,-17.253600000000006
10.04625,-18.037599999999998
10.07125,-17.900400000000005
10.0725,-17.822000000000003
10.0975,-18.174800000000005
