Time,State,Lox High,Fuel High,Lox Dome,Fuel Dome,Lox Tank1,Lox Tank2,Fuel Tank1,Fuel Tank2,Pneumatics,Lox Inlet,Fuel Inlet,Fuel Injector,Chamber1,Chamber2
2404797.0,5.0,1590.91,-360.14,677.28,339.41,352.44,369.18,346.02,-76.37,-73.09,52.47,0.0,0.12,0.12,0.0
2405135.0,5.0,1682.02,-360.8,197.92,339.96,352.7,368.64,346.08,-76.65,349.46,510.41,0.0,0.12,0.12,0.0
2405474.0,5.0,1686.42,-363.62,677.11,-74.47,352.3,370.28,347.19,-75.58,-73.87,508.99,0.0,0.12,0.12,0.0
2405809.0,5.0,1499.04,-580.43,677.56,-75.02,351.62,369.72,345.91,357.5,-72.82,509.83,0.0,0.12,0.12,0.0
2406145.0,5.0,-387.91,1753.45,197.96,339.6,351.66,369.2,346.33,-75.81,-72.33,509.96,0.0,0.12,0.12,0.0
2406479.0,5.0,1686.7,-366.9,677.13,-74.96,352.88,369.24,346.63,-75.91,-72.43,509.44,0.0,0.12,0.12,0.0
2406841.0,5.0,1687.09,-362.68,677.32,-74.89,352.7,370.12,347.11,-75.92,-73.73,509.46,0.0,0.12,0.23,0.02
2407176.0,5.0,1686.8,-361.74,677.74,-74.26,351.88,370.34,347.09,357.09,-72.5,509.55,0.0,0.12,0.12,0.0
2407514.0,5.0,1684.22,-361.55,676.89,-74.91,352.54,370.42,346.82,-76.16,349.44,509.46,0.0,0.12,0.12,0.0
2407851.0,5.0,1502.0,1673.45,677.58,339.62,351.68,369.78,345.81,357.52,349.22,510.69,0.0,0.12,0.12,0.0
2408189.0,5.0,1685.84,-366.25,677.15,339.35,352.1,368.98,346.08,357.15,-72.99,509.3,0.0,0.12,0.27,0.14
2408568.0,5.0,1680.01,-365.87,198.02,-118.17,352.82,369.1,346.33,-75.98,349.18,510.1,0.0,0.12,0.12,0.0
2408903.0,5.0,1690.15,-360.33,677.76,340.25,352.14,369.92,346.67,-76.39,-72.82,509.75,0.0,0.12,0.12,0.0
2409241.0,5.0,1583.36,-363.62,677.03,339.32,352.3,369.26,346.0,-75.75,-73.07,509.71,0.0,0.12,0.12,0.0
2409579.0,5.0,1685.17,-361.08,677.64,339.81,352.52,370.2,347.09,-75.69,349.24,510.72,0.0,0.12,0.12,0.0
2409914.0,5.0,1688.23,-364.74,677.42,-75.06,352.1,370.7,347.19,-75.33,-72.62,510.04,0.0,0.12,0.12,0.0
2410251.0,5.0,-400.05,-580.43,197.43,339.79,351.84,368.74,345.68,-75.79,-72.31,509.67,0.0,0.41,0.12,0.0
2410590.0,5.0,1685.65,-365.96,677.05,-118.07,352.02,369.02,346.15,357.36,-72.62,509.54,0.0,0.12,0.12,0.0
2410925.0,5.0,1683.55,-365.49,677.48,339.39,352.74,369.08,346.4,-76.0,-72.54,509.85,0.0,0.12,0.12,0.0
2411262.0,5.0,1686.8,-363.71,677.68,-74.31,352.64,370.3,347.28,-75.77,-72.33,509.42,0.0,0.12,0.12,0.0
2411597.0,5.0,1684.31,-365.96,677.03,340.25,352.2,370.54,347.0,-75.44,349.07,509.46,0.0,0.12,0.12,0.0
